"id","qid","dataset","plottype","response","cresponse","correct","responsen","cresponsen","qsubid"
"R_0O0VLA2fLGC5SAI",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_eQgihX6yHZzRODi",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_eQgihX6yHZzRODi",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_eQgihX6yHZzRODi",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_eQgihX6yHZzRODi",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_6EF1Vcw5fLiuBAo",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_6EF1Vcw5fLiuBAo",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_6EF1Vcw5fLiuBAo",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_6EF1Vcw5fLiuBAo",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_9st8AEs2Cmddkiw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_9st8AEs2Cmddkiw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_9st8AEs2Cmddkiw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_9st8AEs2Cmddkiw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
